Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
ENSMUSG00000038366,11385.0712993899,0.70119268277977,0.0546836942808505,12.8227013920915,1.22361835910314e-37,1.2018331538077399e-36,Lasp1
ENSMUSG00000050538,36.7320200881251,0.377386253776638,0.435114920047733,0.867325472854937,0.385763703529569,0.456867681038471,B230217C12Rik
ENSMUSG00000017417,845.32632260816,-0.0599743433704,0.0978308827243379,-0.613041012206669,0.539849222166092,0.608289707502787,Plxdc1
ENSMUSG00000038352,191.095245147773,-2.00749638247399,0.195835850958856,-10.250913571978,1.1723022083061e-24,8.12887073899075e-24,Arl5c
ENSMUSG00000020882,42.6259828111495,-0.541478837188813,0.396664732225772,-1.36507935593481,0.172228109712983,0.226555947262152,Cacnb1
ENSMUSG00000017404,609.871826729341,-0.117341843887473,0.110859662400069,-1.05847195767213,0.289840328803645,0.357885075686062,Rpl19
ENSMUSG00000017400,91.7598051968508,-3.80120886090705,0.4005120772732,-9.49087200262913,2.29109581285023e-21,1.42885422631093e-20,Stac2
ENSMUSG00000020883,1376.26265110949,-1.2166131371465,0.0840166841865131,-14.4806135701056,1.606566274788e-47,1.8628730980713103e-46,Fbxl20
ENSMUSG00000018160,1537.45331290296,0.560479034590102,0.0796883508160086,7.03338730003567,2.01578805706932e-12,8.36055197924904e-12,Med1
ENSMUSG00000003119,873.225318045655,0.254310527421446,0.111259435406623,2.28574346519025,0.0222692708347318,0.0358870259507587,Cdk12
ENSMUSG00000018167,3889.0549634981,1.76319340189988,0.0666337260498568,26.4609756413834,2.7280930738968998e-154,1.1275217678023401e-152,Stard3
ENSMUSG00000038208,177.17941033847,0.292847398382121,0.190784740377664,1.53496237593437,0.124793070136214,0.170386351648038,Pgap3
ENSMUSG00000002580,678.871097029862,0.319713384062674,0.111831127988246,2.85889438668879,0.0042512029518731,0.0077515746310872,Mien1
ENSMUSG00000038150,453.766926499685,0.30747714902772,0.127241567719839,2.41648350093206,0.0156712364374755,0.0260107215250504,Ormdl3
ENSMUSG00000078134,230.124896961924,-0.913352247422168,0.194447151066797,-4.69717474599774,2.63784763722399e-06,7.04044457820886e-06,Gm12355
ENSMUSG00000017221,2144.72651688423,0.454975664528098,0.0724573685666975,6.27921871202499,3.40278629631976e-10,1.2340889889606801e-09,Psmd3
ENSMUSG00000038067,0.0,,,,,,Csf3
ENSMUSG00000017210,1060.91800061899,-0.108575797289863,0.0947085661524664,-1.14642003042336,0.251621398652324,0.31668892214302,Med24
ENSMUSG00000058756,341.558835639283,-0.886367762518858,0.138168121191904,-6.41513943211086,1.40694031780223e-10,5.239106036228741e-10,Thra
ENSMUSG00000020889,168.765423281999,-0.0284640454377048,0.192530242865409,-0.147841944278868,0.882467506296865,0.909558895584826,Nr1d1
ENSMUSG00000052915,1723.81734336755,0.16570016487776,0.0749614590567655,2.21047144709765,0.0270724600193167,0.0429530491349174,Msl1
ENSMUSG00000078676,1175.62250263694,0.280799443548577,0.0883040981416064,3.17991406353849,0.0014731873376737,0.0028664892836682,Casc3
ENSMUSG00000038020,17.4429145383669,-1.7607838085618,0.61412005903347,-2.86716543884432,0.0041416644583647,0.0075661654284612,Rapgefl1
ENSMUSG00000038013,611.095785029737,0.061068799484015,0.108991988499089,0.56030539790111,0.575271146177042,0.641792477824062,Wipf2
ENSMUSG00000017499,348.056101026438,-0.331645912247813,0.166507621123015,-1.99177617223176,0.0463956217489619,0.0702384394538503,Cdc6
ENSMUSG00000037992,556.126117344517,-0.307732519098495,0.114048406583777,-2.6982623283951,0.0069702490041684,0.0122475695635193,Rara
ENSMUSG00000020914,5026.87808867228,-3.05358039374558,0.065763958820121,-46.4324296853509,0.0,0.0,Top2a
ENSMUSG00000017493,6311.97171461755,-5.12014187335442,0.091618883166473,-55.8852247090923,0.0,0.0,Igfbp4
ENSMUSG00000017607,68.0711876228215,-1.50353401787929,0.32193773204016,-4.67026343371188,3.00813722609191e-06,7.98789280796203e-06,Tns4
ENSMUSG00000037944,4.20531221542539,0.509382305394,1.27200767569522,0.400455370770931,0.688821148419858,0.745186656770981,Ccr7
ENSMUSG00000037935,775.953574730429,-0.0908717525846316,0.103780447956506,-0.875615343486625,0.381239181303807,0.452407681935713,Smarce1
ENSMUSG00000019761,20.9724727832424,-1.36412128244678,0.590109385969985,-2.3116413920523,0.0207974536154382,0.0337365947702244,Krt10
ENSMUSG00000035530,3219.48391746468,0.210879170347289,0.069505431447126,3.03399555914862,0.0024133798249564,0.0045434088316189,Eif1
ENSMUSG00000006930,430.2784101386,1.26265035099869,0.247340581070399,5.10490573578506,3.30959449860643e-07,9.6207177126389e-07,Hap1
ENSMUSG00000001552,470.777328306449,-1.43132677287005,0.137448713366094,-10.4135334396162,2.1508698327815003e-25,1.5356523897333401e-24,Jup
ENSMUSG00000017176,220.743476079731,-0.276099448479151,0.186635819512639,-1.4793486545087,0.13904715543139,0.187618524670542,Nt5c3b
ENSMUSG00000048732,102.677485411312,0.385567136161088,0.257238810040275,1.49886844874116,0.133907762965818,0.181250207049388,Klhl11
ENSMUSG00000020917,3922.51864807701,0.166037583724011,0.0618462265847852,2.6846841415036,0.0072598379254839,0.0127189354142188,Acly
ENSMUSG00000006782,5326.58619655346,1.21153058984294,0.064574676535151,18.7616981586187,1.55355918162609e-78,2.7912800045198698e-77,Cnp
ENSMUSG00000014195,3007.74334608162,0.651586029558695,0.0655034154722147,9.94735961264623,2.58962825183529e-23,1.72224719053284e-22,Dnajc7
ENSMUSG00000017837,2741.20920343557,0.425858702096837,0.071650154900521,5.9435838301829,2.7885703884094404e-09,9.4998005914177e-09,Nkiras2
ENSMUSG00000017830,5092.92688768179,1.92258460271531,0.0652597921981511,29.4604769331427,9.24342386140949e-191,4.90488970408606e-189,Dhx58
ENSMUSG00000020918,1297.49604575827,1.2264558156893,0.0916847394621726,13.3768806333939,8.25392957260458e-41,8.49334100556509e-40,Kat2a
ENSMUSG00000017832,15.9307812626992,-0.628107803281903,0.690510202185682,-0.909628563479212,0.363018429626259,0.433869039340489,Hspb9
ENSMUSG00000019173,14028.321721841,0.0877312839889868,0.052606178615374,1.66769923796266,0.0953754467759297,0.133971301462213,Rab5c
ENSMUSG00000035355,32.9585702652156,2.41366266724146,0.685285120322078,3.5221291046084,0.0004280956061425,0.0008972454017946,Kcnh4
ENSMUSG00000017747,390.468620698244,-0.201690554148942,0.141499863344039,-1.42537631756263,0.154048450048404,0.205512809199549,Ghdc
